address,zip_code,building_name,leasing_phone,leasing_email,website,numberofunits,year_built,number_stories,total_livable_area,market_value,owner_business_name,parcel_number,contact_confidence,source,active_listings_count,studio_count,br1_count,br2_count,br3plus_count,rent_min,rent_max,year_built_source,construction_era,website_source,lon,lat
3700-12 SPRUCE ST,19104,Fisher Hassenfeld College House (Penn),(215) 898-6846,,,1043,1895,4,181527,16573600,ATTN: PAUL KILBRIDE,881822520,websearch,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.198553,39.950808
2200 S 25TH ST,19145,WILSON PARK APARTMENTS,+1 215-684-4809,,,774,2008,,431438,51681600,PHILADEPHIA HOUSING AUTHORITY,886760930,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.189748,39.924382
600 HARVEY ST,19144,Rittenhouse Hill,+1 215-883-2006,,https://www.compass.com/agents/carla-brandoff/,624,1951,12,520280,87000600,POST RITTENHOUSE HILL LP,881211010,matched,opa_license,31,6,19,6,0,1325,2154,opa_license,1950-1979,rentcast_api,-75.185362,40.031108
1601 N 15TH ST,19121,Oxford Village Apartments,+1 215-765-3134,,,601,2007,12,254947,60389700,BROAD RESIDENTIAL PARTNERS LP,881299900,matched,opa_license,0,,,,,,,opa_license,2000-2009,,-75.159381,39.97802
2300-08 DIAMOND ST,19121,Raymond Rosen Apartments (Raymond Rosen Manor),(215) 684-4700,,,552,2004,2,126784,14532500,PHILADELPHIA HOUSING AUTHORITY,886761295,websearch,opa_license,0,,,,,,,opa_license,2000-2009,,-75.172542,39.985991
2554 W GLENWOOD AVE,19121,Renovated Apartment 3 Mi to Downtown Philadelphia - Apartment,,,,532,1941,,230800,27337200,C/O DANIEL QUIMBY,886760990,matched,opa_license,0,,,,,,,opa_license,Pre-1950,,-75.176434,39.985455
5450 WISSAHICKON AVE,19144,The Avenue at East Falls,+1 888-516-3223,,,504,1950,11,425535,60627300,CHARTER COURT APARTMENTS OWNER LLC,881137500,matched,opa_license,1,0,1,0,0,2910,2910,opa_license,1950-1979,,-75.181065,40.024495
200 N 16TH ST,19102,The Terrace on 18th Street,+1 215-398-1976,Leasing@Franklin-Tower.com,https://www.maxwellrealty.com,503,1950,24,626685,152219100,"200 NORTH 16TH STREET HOLDINGS, LP",881809216,matched,opa_license,31,3,28,0,0,1695,2715,opa_license,1950-1979,rentcast_api,-75.166214,39.957209
3601L MARKET ST,19104,Arrive University City,+1 888-910-2827,,,375,2015,28,354372,79105000,FPACP4 MARKET LLC,881115778,matched,opa_license,23,6,9,8,0,2409,4389,opa_license,2010-2019,,-75.194533,39.95667
1300-22 CECIL B MOORE AVE,19122,Oxford Village Apartments,+1 215-765-3134,housing@temple.edu,https://www.temple.edu,371,2001,5,96574,73992400,TEMPLE UNIVERSITY,881299070,matched,opa_license,0,,,,,,,opa_license,2000-2009,derived_from_email,-75.156395,39.977728
